guid,text,back extra,tags
PK*1xpYhw8,Komplexer Kehrwert: {{c1::\( \frac{1}{z} \)}}&nbsp;\( = \)&nbsp;{{c2::\( \frac{x - iy}{x^2 + y^2}\)}}<br>,,eth::sem1::linalg
u65pI6|_4#,{{c1:: Inverse eines Produkts: \((\mathbf{AB})^{-1}\)}} = {{c2::\(\mathbf{B}^{-1} \mathbf{A}^{-1}\)}}&nbsp;<br>,,eth::sem1::linalg
f?mV5JRdT{,"A relation&nbsp;ρ on a set A is called {{c1::reflexive}} if&nbsp;{{c2::\( a \ \rho \ a\) is true for all&nbsp;\( a \in A\), i.e. if&nbsp;\( \text{id} \subseteq \rho\).}}","Example:&nbsp;\( \ge, \le \) are reflexive, while&nbsp;\( &lt;, &gt; \) are not.",eth::sem1::diskmat
yJ}kX&Y9Od,"A relation&nbsp;ρ on a set A is called {{c1::symmetric}} if&nbsp;{{c2::\( a \ \rho \ b \iff b \ \rho \ a\) is true, i.e. if&nbsp;\( \rho = \hat{\rho}\)}}","Examples:&nbsp;\( \equiv_m\), marriage",eth::sem1::diskmat
s[dJ]w<?0N,"A relation&nbsp;ρ on a set A is called {{c2::antisymmetric}} if&nbsp;{{c1::\( a \ \rho \ b \wedge b \ \rho \ a \implies a = b\) is true, i.e. if&nbsp;\( \rho \cap \hat{\rho} \subseteq \text{id}\)}}","Example:&nbsp;\( \le, \ge\) and the division relation:&nbsp;\( a \mid b \wedge b \mid a \implies a = b\)",eth::sem1::diskmat
H!j|tU4T~6,A relation is {{c1::transitive}} if&nbsp;{{c2::\((a \ \rho \ b \wedge b \ \rho \ c) \implies a \ \rho \ c \) is true.}},"Examples:&nbsp;\( \le, \ge, &lt;, |, \equiv_m\)",eth::sem1::diskmat
C;65zxNGcG,The {{c2::inverse relation}} is&nbsp;{{c1::\( a \ \rho \ b \iff b \ \hat{\rho} \ a\)}}.,Example: Inverse of parent relation is childhood relation. Also written as&nbsp;\( \rho^{-1}\),eth::sem1::diskmat
Oc<qX9GKUZ,"Gilt für zwei Matrizen&nbsp;\( \mathbf{A}\) und&nbsp;\( \mathbf{B}\), dass&nbsp;{{c2::\( \mathbf{AB} = \mathbf{BA}\)}}, dann {{c1::kommutieren}} diese Matrizen.&nbsp;",,eth::sem1::linalg
xn@gm`7I_o,"Eine {{c1::Linearkombination (LK)}} der Vektoren&nbsp;\( a_1, \ldots, a_n\) ist {{c2::ein Ausdruck der Form&nbsp;\( \alpha_1 a_1 + \cdots + \alpha_n a_n\) wobei&nbsp;\( \alpha_1, \ldots, \alpha_n \in \mathbb{R}\)}}",,eth::sem1::linalg
uo#Gn+y8bD,"Für alle Vektorpaare&nbsp;\( \mathbf{x,y} \in \mathbb{E}^n \) gilt die Schwarzsche Ungleichung:&nbsp;{{c1::\( | \langle \mathbf{x, y} \rangle | \le ||\mathbf{x}|| \ ||\mathbf{y}||\)}}",(auch Cauchy-Schwarz-Ungleichung genannt),eth::sem1::linalg
v#FTBh.m{S,"Ein LGS heisst {{c1::homogen}}, wenn {{c2::die rechte Seite Null ist}}.",Besitzt immer triviale Lösung (alles 0).,eth::sem1::linalg
y`5($Q$d37,{{c1::Eine Gruppe}} ist eine Menge {{c1::G mit Operation&nbsp;\( * \)}} mit folgenden Eigenschaften:<div>{{c2::<div>- Assoziotivität:&nbsp;\((a * b) * c = a * (b*c)\)</div><div>- Neutrales Element existiert:&nbsp;\( a * e = e * a = e \)</div><div>- Inverse existiert:&nbsp;\( a * a^{-1} = a^{-1} * a = e\)</div>}}<br></div>,,"eth::sem1::diskmat, eth::sem1::linalg"
EuJL{:A/EO,"Eine Gruppe&nbsp;\( (G, *) \) heisst {{c1::abelsch (auch: kommutativ)}}, falls&nbsp;\( * \) ausserdem&nbsp;{{c2::\(a * b = b * a\), also das Kommutativitätgesetz erfüllt}}.","Beispiel:&nbsp;\( (\mathbb{K}^{m\times n}, + ) \)",eth::sem1::linalg
"BG+yKyLb,^","{{c1::Ein Körper}} ist eine Menge&nbsp;{{c1::\( \mathbb{K}\) mit Operationen&nbsp;\(+ , *\)}} mit folgenden Eigenschaften:<div>{{c2::<div>-&nbsp;\( (\mathbb{K}, +)\) ist eine abelsche Gruppe</div><div>-&nbsp;\( (\mathbb{K} \backslash \{0\}, *)\) ist eine abelsche Gruppe</div><div>- Distributivität:&nbsp;\( a * (b+c) = a*b + a*c\)</div>}}<br></div>","Beispiel:&nbsp;\( \mathbb{Q}, \mathbb{R}\)","eth::sem1::diskmat, eth::sem1::linalg"
BK[{yp^]zj,"{{c1::Ein Vektorraum}} ist eine Menge \( \mathbb{V}\) über \( \mathbb{K}\), auf der {{c2::eine Addition und eine Skalarmultiplikation definiert ist.}}","Beispiele:&nbsp;\(\mathbb{R}^n, \mathbb{K}^{m\times n}, P_d(\mathbb{K})\) (Polynome von Grad&nbsp;\( \le d\))",eth::sem1::linalg
fd?4%T(3|z,"A function is {{c1::injective (or one-to-one)}} if {{c2::for&nbsp;\(a \ne b\) we have&nbsp;\(f(a) \ne f(b)\), i.e. no ""collisions""}}","Example:&nbsp;\(f(x) = x\), counterexample:&nbsp;\(f(x) = x^2, x \in \mathbb{R}\)",eth::sem1::diskmat
l];xKGd{%I,"A function&nbsp;\( f: A \rightarrow B\) is {{c1::surjective (or onto)}} if&nbsp;{{c2::\( \forall b \ \exists a \ , b = f(a)\), i.e. every value is taken}}",,eth::sem1::diskmat
dt/TXCWYbv,A function is {{c1::bijective (one-to-one correspondence)}} if it is {{c2::both injective and surjective.}},,eth::sem1::diskmat
u3RL+}XGYF,"The {{c2::power set of a set&nbsp;\(A\), denoted&nbsp;\(\mathcal{P}(A)\)}}, is {{c1::the set of all subsets of&nbsp;\(A\)}}.",,eth::sem1::diskmat
vnO<ZlO~=m,{{c1::Equivalence relation}} is a relation on a set&nbsp;\(A\) that is<div>{{c2::<div>* reflexive</div><div>* symmetric</div><div>* transitive</div>}}<br></div>,Example:&nbsp;\(\equiv_m \),eth::sem1::diskmat
s(DE`)q*(T,{{c1::A partial order}} on a set&nbsp;\(A\) is a relation that is<div>{{c2::<div>* reflexive</div><div>* antisymmetric</div><div>* transitive</div>}}<br></div>,"Examples:&nbsp;\(\leq, \geq\)",eth::sem1::diskmat
IL3~+k+|$5,A set together with a partial order&nbsp;\(\preceq\) is called {{c1::a partially ordered set or simply poset.}},Denoted&nbsp;\((A; \preceq)\),eth::sem1::diskmat
x/&wX)sTYn,"{{c1::An algebra (also: algebraic structure,&nbsp;\( \Omega\)-algebra)}} is a pair&nbsp;\(\langle S, \Omega \rangle\) {{c2::where S is a set and&nbsp;\(\Omega = (\omega_1, \ldots, \omega_n)\) is a list of operations on S.}}",,eth::sem1::diskmat
N$(b/mcC}},"{{c1::A <b>monoid</b>}}<b>&nbsp;</b>is an algebra&nbsp;{{c2::\( \langle M; *, e \rangle\) where&nbsp;\(*\) is associative and&nbsp;\(e\) is the neutral element.}}",Difference to group: Inverse missing,eth::sem1::diskmat
Fa&qY%lL0q,"In a poset&nbsp;\( ( A; \preceq )\),&nbsp;\(b\) <b>covers</b>&nbsp;\(a\) if&nbsp;{{c1::\(a \prec b\) and there does not exist a&nbsp;\(c\) with&nbsp;\(a \prec c \land c \prec b \), so no elements are between&nbsp;\(a\) and&nbsp;\(b\).}}",Example: direct superior in a company,eth::sem1::diskmat
s4qU[:Rl0m,A poset&nbsp;\((A; \preceq)\) is called {{c2::<b>totally ordered</b>&nbsp;(also: linearly ordered) by&nbsp;\(\preceq\)}}&nbsp;if {{c1::any two elements of the poset are comparable.}},Example:&nbsp;\((\mathbb{Z}; \ge)\),eth::sem1::diskmat
F:9iVjG>$B,"Special elements in posets:&nbsp;\((A; \preceq)\) is a poset, \( S \subseteq A\).<div>\(a \in A\) is a {{c1::<b>minimal (maximal) element</b> of&nbsp;\(A\)}}&nbsp;if {{c2::there exists no&nbsp;\(b \in A\) with&nbsp;\(b \prec a\) (\(b \succ a \) )}}<br></div>",,eth::sem1::diskmat
y4s0XCy@A,"Special elements in posets:&nbsp;\((A; \preceq)\) is a poset, \( S \subseteq A\).<div>\(a \in A\) is the {{c1::<b>least (greatest)&nbsp;element</b>&nbsp;of&nbsp;\(A\)}}&nbsp;if {{c2::\(a \preceq b\) (\(a \succeq b) \) for all&nbsp;\(b \in A\)}}</div>",,eth::sem1::diskmat
D`/l5%ja#*,"Special elements in posets:&nbsp;\((A; \preceq)\) is a poset, \( S \subseteq A\).<div>\(a \in A\) is a {{c1::<b>lower (upper) bound</b>&nbsp;of&nbsp;\(S\)}}&nbsp;if {{c2::\(b \preceq a\) (\(b \succeq a) \) for all&nbsp;\(b \in S\)}}</div>",,eth::sem1::diskmat
yF7brLJQxE,"Special elements in posets:&nbsp;\((A; \preceq)\) is a poset, \( S \subseteq A\).<div>\(a \in A\) is the {{c1::<b>greatest&nbsp;lower (least upper) bound</b>&nbsp;of&nbsp;\(S\)}}&nbsp;if {{c2::\(a\) is the greatest (least) element of the set of all lower (upper) bounds of&nbsp;\(S\). }}</div>",,eth::sem1::diskmat
B/hV<WXGve,A poset&nbsp;\((A;\preceq)\) is <b>well-ordered </b>if {{c1::it is totally ordered and every non-empty subset has a least element.}},Every totally ordered finite poset&nbsp;\(\rightarrow\) well-ordered<div>Infinite example: \((N; \le)\)<br>Infinite counterexample&nbsp;\((\mathbb{Z}; \le)\)</div>,eth::sem1::diskmat
Gw~6}3;R1[,"\((A;\preceq)\) is a poset. If&nbsp;\(\{a,b\}\) have a {{c2::greatest lower bound}}, then it is called the {{c1::<b>meet </b>of&nbsp;\(a\) and&nbsp;\(b\) (also denoted&nbsp;\(a \land b\)).}}<br>",,eth::sem1::diskmat
otWm4$@-u8,"\((A;\preceq)\) is a poset. If&nbsp;\(\{a,b\}\) have a {{c2::least upper bound}}, then it is called the {{c1::<b>join&nbsp;</b>of&nbsp;\(a\) and&nbsp;\(b\) (also denoted&nbsp;\(a \lor b\)).}}",,eth::sem1::diskmat
I+oWgzW/bK,A poset in which {{c2::every pair of elements has a meet and a join}} is called a {{c1::lattice}}.,"Examples:&nbsp;\((\mathbb{N}; \le), \ (\mathcal{P}(S); \subseteq)\)",eth::sem1::diskmat
udpmH`a[=Y,The {{c2::subset&nbsp;\(f(A)\) of&nbsp;\(B\)}} is called the {{c1::<b>image</b> (also: range) of&nbsp;\(f\)}}&nbsp;and is also denoted&nbsp;\(Im(f)\).,"Example:&nbsp;\(f(x) = x^2\), the range of&nbsp;\(f\) is&nbsp;\(\mathbb{R}^{\ge 0}\)",eth::sem1::diskmat
E6{tZ_2cBJ,"For a subset&nbsp;\(T\) of&nbsp;\(B\), the {{c1::<b>preimage </b>(in Linalg: Urbild) of&nbsp;\(T\), denoted&nbsp;\(f^{-1}(T)\)}}, is {{c2::the set of values in&nbsp;\(A\) that map into&nbsp;\(T\).}}","Example:&nbsp;\(f(x) = x^2\), the preimage of&nbsp;\([4,9]\) is&nbsp;\([-3,-2] \cup [2,3]\)",eth::sem1::diskmat
Lfk_~v/e2Q,"Two sets&nbsp;\(A, B\) are {{c1::<b>equinumerous </b>(denoted&nbsp;\(A \sim B\))}}&nbsp;if {{c2::there exists a bijection&nbsp;\(A \rightarrow B\).}}",Example:&nbsp;\(f: \mathbb{N} \rightarrow \mathbb{Z} = (-1)^n \lceil n/2 \rceil\),eth::sem1::diskmat
IhW:&11Iid,The set&nbsp;\(B\) {{c1::<b>dominates</b> (denoted&nbsp;\(A \preceq B\))}} if {{c2::there exists an injective function&nbsp;\(A \rightarrow B\).}},Example:&nbsp;\(f(x): \mathbb{N} \rightarrow \mathbb{R} = x\),eth::sem1::diskmat
"L,+=h7*qew","A set&nbsp;\(A\) is called <b>countable </b>if {{c1::\(A \preceq \mathbb{N}\)}}, and <b>uncountable</b> otherwise.",,eth::sem1::diskmat
Am`UxH.Oyx,"\(a \mid b\) means that {{c1::\(a\) divides \(b\), that is, there exists a&nbsp;\(c \in \mathbb{Z}\) such that&nbsp;\(b = ac\)}}<br>",\(\forall a \ne 0 \rightarrow a \mid 0\) and&nbsp;\(\forall a \quad 1 \mid a \land -1 \mid a\)<br>,eth::sem1::diskmat
AFt:;I:*/e,{{c1::\(a \mod m\)}} is the same as&nbsp;{{c2::\(R_m(a)\)}}<br>,,eth::sem1::diskmat
K4Ll=rR|5+,\(a&nbsp; \equiv_m b \stackrel{\text{def}}{\iff}\)&nbsp;{{c1::\(m \mid (a-b)\)}}<br>,,eth::sem1::diskmat
Fh4R-ccO%^,"The equation&nbsp;\(ax \equiv_m 1\) has a unique solution&nbsp;\(x \in \mathbb{Z}_m\) if and only if&nbsp;{{c1::\(\gcd(a,m) = 1\).}} This \(x\) is then called the multiplicative inverse of&nbsp;\(a \mod m\).",,eth::sem1::diskmat
gyJPNg>H@A,"The direct product of&nbsp;\(n\) groups&nbsp;\(\langle G_1; *_1 \rangle, \ldots, \langle G_n; *_n \rangle\) is {{c1::the algebra&nbsp;\(\langle G_1 \times \cdots \times G_n; \star\rangle\)}}. The operation&nbsp;\(\star\) is component-wise.",,eth::sem1::diskmat
vt:Wqzxx@@,A subgroup \(H\) of a group&nbsp;\(G\) is {{c1::a subset&nbsp;\(H \subseteq G\) which is a group in itself (closed with respect to all operations).}},"Trivial subgroups:&nbsp;\(\{e\}, G\)",eth::sem1::diskmat
l]y7c-.I]L,"The order of an element&nbsp;\(a\) in a group (denoted&nbsp;\(\text{ord}(a)\)) is {{c1::the smallest&nbsp;\(m \ge 1\) such that&nbsp;\(a^m = e\). If such an&nbsp;\(m\) does not exist,&nbsp;\(\text{ord}(a) = \infty\)}}",\(\text{ord}(e) = 1\) in any group<br>,eth::sem1::diskmat
o1a(R_.1]i,"For a finite group&nbsp;\(G\), we call&nbsp;\(|G|\) the {{c1::order of&nbsp;\(G\)}}.",,eth::sem1::diskmat
LFnfauD_]7,"A group&nbsp;\(G = \langle g \rangle\) generated by an element&nbsp;\(g \in G\) is called {{c1::cyclic}}, and&nbsp;\(g\) is called {{c1::a <b>generator</b> of&nbsp;\(G\)}}.",,eth::sem1::diskmat
PLw>#T/cN`,"If&nbsp;\(G\) is a finite group and&nbsp;\(H\) is a subgroup, then {{c1::the order of&nbsp;\(H\) divides the order of&nbsp;\(G\), i.e.&nbsp;\(|H|\) divides&nbsp;\(|G|\).}}",,eth::sem1::diskmat
j5a}0B}`Qc,"The group&nbsp;\(\mathbb{Z}^*_m\) contains all numbers&nbsp;\(a \in \mathbb{Z}_m\) that are {{c1::coprime to&nbsp;\(m\), that is,&nbsp;\(\gcd(a,m) = 1\).}}",,eth::sem1::diskmat
hU:-C(Wl{v,The Euler function&nbsp;\(\varphi: \mathbb{Z}^+ \rightarrow \mathbb{Z}^+\) is defined as {{c1::the cardinality of&nbsp;\(\mathbb{Z}^*_m\).}},"Example:&nbsp;\(\mathbb{Z}_{18}^* = \{1,5,7,11,13,17\}\), so&nbsp;\(\varphi(18) = 6\)",eth::sem1::diskmat
mBd+!cdp:/,"In graph theory, a {{c1::walk}} is a {{c2::series of connected vertices}}.",,eth::sem1::and
z4Nw/I#?J^,"In graph theory, a {{c2::path}} is a {{c1::walk without repeated vertices}}.",,eth::sem1::and
oSKGiZq$<Q,"In graph theory, a {{c2::closed walk}} is a {{c1::walk where&nbsp;\(v_0 = v_n\) (start = end)}}.",,eth::sem1::and
rzX#2=8CU?,"In graph theory, a {{c2::cycle}} is a {{c1::closed walk without repeated vertices}}.",,eth::sem1::and
mhrX@w|*.`,"In graph theory, an {{c2::Euler path}} is a {{c1::path that visits each edge of the graph once}}.",,eth::sem1::and
Gt4c53(i;/,"In graph theory, a {{c2::Hamilton path}} is a {{c1::path that visits each vertex of the graph once}}.",,eth::sem1::and
s[Y-0E4#sz,"{{c1::A ring&nbsp;\(\langle R, +, -, 0, \cdot, 1 \rangle\)}} is an algebra with the properties that<br>{{c2::* \(\langle R, +, -, 0 \rangle\) is a commutative group}}<div>{{c3::*&nbsp;\(\langle R, \cdot, 1 \rangle\) is a monoid}}<div>{{c4::*&nbsp;\( a(b+c) = (ab) + (ac), (b+c)a = (ba) + (ca)\) (left and right distributive laws)}}</div></div>","Examples:&nbsp;\(\mathbb{Z}, \mathbb{R}\)",eth::sem1::diskmat
Pq[u}J3gBK,A ring is called {{c1::commutative}} if&nbsp;{{c2::\(ab = ba\).}},,eth::sem1::diskmat
QS$4YdV.SM,"An element \(u\) of a ring is called a {{c1::unit}} if&nbsp;\(u\) {{c2::is invertible, so&nbsp;\(uu^{-1} = u^{-1}u = 1\).}}","Example: Units of&nbsp;\(\mathbb{Z}\) are&nbsp;\(-1, 1\)",eth::sem1::diskmat
H+<9!8uj.@,The set of units of \(R\) is denoted by&nbsp;{{c1::\(R^*\)}},,eth::sem1::diskmat
"I1&*hbv&c,",An {{c1::integral domain}} is a {{c2::commutative ring without zerodivisors (\( \forall a \ \forall b \quad ab = 0 \rightarrow a = 0 \lor b = 0\) ).}},"Examples:&nbsp;\(\mathbb{Z}, \mathbb{R}\)<div>Counterexample:&nbsp;\(\mathbb{Z}_m, m\) not prime</div>",eth::sem1::diskmat
"J!)tsK,]3<","A {{c1::field (<i>Körper</i>)}}&nbsp;is {{c2::a nontrivial commutative ring&nbsp;\(F\) in which every nonzero element is a unit, so&nbsp;\(F^* = F \backslash \{0\}\)}}","Example:&nbsp;\(\mathbb{R}\), but not&nbsp;\(\mathbb{Z}\)",eth::sem1::diskmat
l.<t])5Z&B,\(\mathbb{Z}_p\) is a field if and only if&nbsp;{{c1::\(p\) is prime.}}<br>,,eth::sem1::diskmat
m?%j+<a6[I,A {{c1::root (also: zero)}} of&nbsp;\(a(x) \in \mathbb{R}[x]\) is {{c2::an element&nbsp;\(y \in \mathbb{R}\) for which&nbsp;\(a(y) = 0\).}},Example: \(x^4 + x^3 + x + 1\) in GF(2)\([x]\) has root 1.,eth::sem1::diskmat
v[{@yotn>*,"In a field F,&nbsp;\(y \in F\) is a root of&nbsp;\(a(x)\) if and only if&nbsp;{{c1::\(x - y\) divides&nbsp;\(a(x)\).}}",,eth::sem1::diskmat
G)?a@}6F-&,"The idea of {{c2::Universal Instantiation}} is that {{c1::if a statement is true for all elements, it is also true for a particular element, so&nbsp;\(\forall x F \models F[x/t]\).}}","Example: All elements in&nbsp;\(\mathbb{R}\) are invertible. Thus, 2 is also invertible.",eth::sem1::diskmat
E8|8/h)Gv3,Predicate logic: A formula in {{c2::prenex form}} has {{c1::all quantifiers in front and none afterwards.&nbsp;}},,eth::sem1::diskmat
BRmyi3>lm%,"<u><b>DFS</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|E| + |V|) \)}}</div><div><br></div><div><b>Approach</b>: {{c1::We first go through the depth of each node. We might keep track of pre / post numbers to make edge classifications.}}</div><div><br></div><div><b>Uses</b>: {{c1::Detect cycles (if backward edge), path finding, topological sorting, test if bipartite, mazes, ...}}</div>",,eth::sem1::and
u%cN;v|jjQ,"<u><b>BFS</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|E| + |V|) \)}}</div><div><br></div><div><b>Approach</b>: {{c1::We first go through all direct successors of an edge, then move to a level deeper.}}</div><div><br></div><div><b>Uses</b>: {{c1::Shortest path in unweighted graphs, cycle detection, test if graph is bipartite, path finding}}</div>",,eth::sem1::and
eGQw>urFaH,"<u><b>Dijkstra</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}((|E| + |V|) \cdot log(|V|)) \)}}</div><div><br></div><div><b>Approach</b>: {{c1::We put the starting node into the queue, take it out, and set the distance for all adjacent nodes and put them into the queue. We repeat, update distances and only put nodes into the queue if they weren't visited before.}}</div><div><br></div><div><b>Uses</b>: {{c1::Minimal-cost paths in non-negative weighted directed graphs}}</div>",,eth::sem1::and
j#w5w>dS6,"<u><b>Bellman-Ford</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|E| \cdot |V|)\)}}</div><div><br></div><div><b>Approach</b>: {{c1::We initiate all distances with ∞. Then we go |V| - 1 times through every edge, and test for all (u,v) in E if dist[v] &gt; dist[u] + w(u,v). If yes, we update the distance. If after [V] - 1 iterations we can still relax an edge (in a last iteration), then there exists a negative cycle.}}</div><div><br></div><div><b>Uses</b>: {{c1::Detect negative cycles, find minimal-cost paths in weighted graphs with negative weights}}</div>",,eth::sem1::and
F^nhYx>fXl,"<u><b>Boruvka</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}((|E| + |V|) \cdot log(|V|))\)}}</div><div><br></div><div><b>Approach</b>: {{c1::We first add all vertices to the set of components (so every vertices has its own component). Then as long as the size of the components-set is greater than 1, we connect each component to the one with the cheapest edge.}}</div><div><br></div><div><b>Uses</b>: {{c1::Find MST in weighted, undirected graph}}</div>",,eth::sem1::and
jcougdQ#0G,"<u><b>Kruskal</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|E| \cdot log(|E|) + |E| \cdot log(|V|))\)}}</div><div><br></div><div><b>Approach</b>: {{c1::We sort the edges by weight and add them one-by-one as long as they are in different components.}}</div><div><br></div><div><b>Uses</b>: {{c1::Find MST in weighted, undirected graph}}</div>",,eth::sem1::and
cKo%p6:M08,"<b><u>Prim</u></b><br><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}((|E| + |V|) \cdot log(|V|))\)}}</div><div><br></div><div><b>Approach</b>: {{c1::We start at a given vertex. To this subtree we add one-by-one the cheapest edge connecting the subtree to another component until all vertices are connected. The implementation is very similar to Dijkstra.}}</div><div><br></div><div><b>Uses</b>: {{c1::Find MST in weighted, undirected graph}}</div>",,eth::sem1::and
nfdJ7OmBdJ,"<u><b>Floyd-Warshall</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|V|^3)\)}}</div><div><br></div><div><b>Approach</b>: {{c1::3D DP: It is based on a triple-nested for loop with the following recursion: d[u][v] = min(d[u][v], d[u][i] + d[i][v]).}}</div><div><br></div><div><b>Uses</b>: {{c1::All-to-all shortest path in directed graph without negative cycles.}}</div>",,eth::sem1::and
"KD23pBO,?%","<u><b>Johnson</b></u><div><u><br></u></div><div><b>Runtime</b>: {{c1::\( \mathcal{O}(|E| \cdot |V| + |V|^2 \cdot log(|V|)\)}}</div><div><br></div><div><b>Approach</b>: {{c1::We make all edges positive and then perform n-times Dijkstra. To do this we create an additional node that is linked to each node with edge weight 0 and store for each node a height h(x), where h(x) is equal to the shortest path from the new node n to the node x. The new weights are calculated with w'(u,v) = w(u,v) + h(u) - h(v).}}</div><div><br></div><div><b>Uses</b>: {{c1::All-to-all shortest paths in directed graphs without negative cycles.}}</div>",,eth::sem1::and
I+_KFb>Q>~,"A graph&nbsp;\(G = (V,E)\) is k-connected (k-zusammenhängend) if<span style=""color: var(--text-fg);"">&nbsp;</span>{{c1::you need to remove at least \(k\) vertices from the graph such that it becomes disconnected.}}","<div><img src=""Screenshot_20210223_144154.png""></div><div>This graph is 2-connected. We need to remove 2 vertices to make the graph disconnected.</div>",eth::sem2::anw
i02xT{m[u@,"A graph&nbsp;\(G=(V,E)\) is&nbsp;\(k\)<i>-edge-connected</i> (k-kanten-zusammenhängend) if {{c1::we need to remove at least&nbsp;\(k\) edges from&nbsp;\(G\) such that it becomes disconnected.}}","<img src=""Screenshot_20210223_144154.png""><div>This graph is 2-edge-connected, we must remove 2 edges to make it disconnected.</div>",eth::sem2::anw
otRi.YaJGs,"A \(u\)-\(v\)-separator is {{c1::a set&nbsp;\(X\) of vertices such that&nbsp;\(u, v\) are in different components after we remove these edges from&nbsp;\(G\), so in&nbsp;\(G[V \ \backslash \ X]\).}}",,eth::sem2::anw
HQJNl-v7.],"\(G = (V,E)\) is&nbsp;\(k\)-connected iff&nbsp;\(|V| \ge k + 1\) (otherwise not sensible) and every&nbsp;\(u\)-\(v\)-separator has {{c1::size&nbsp;\(|X| \ge k\).}}&nbsp;",,eth::sem2::anw
I5[Jb@Xj@A,"(Menger's theorem)<div>{{c2::Every&nbsp;\(u\)-\(v\)-separator \(X\) has size&nbsp;\(|X| \ge k\)&nbsp;}} \(\iff\) {{c1::There exist&nbsp;\(k\) internally vertex-disjoint paths (i.e. they share no vertices) between&nbsp;\(u, v\).}}</div>",(generalized by the max-flow min-cut theorem),eth::sem2::anw
x.1xQeEkwI,A lock is reentrant if {{c1::it can be acquired / released multiple times by the same thread.}},"If a lock is non-reentrant, when trying to acquire it again exceptions or other problems might occur.",eth::sem2::pprog
p~(sx=d6fm,A thread <b>starves</b> if {{c1::it can never enter a critical section}}.,,eth::sem2::pprog
OAs;P;T5($,{{c3::Die geometrische Reihe}} konvergiert für&nbsp;\(|q| &lt; 1\):<br><br>{{c1::\(\sum_{k=0}^\infty q^k\)}}&nbsp;\(=\)&nbsp;{{c2::\(\frac{1}{1-q}\)}},,eth::sem2::ana1
jrE@caEJjB,Die harmonische Reihe&nbsp;\(\sum_{n=1}^\infty \frac{1}{n}\) {{c1::divergiert.}},,eth::sem2::ana1
jyA.%y9m|t,"In a one-hot encoding, all {{c1::values are low (0) except one (1)}}.",Advantage: reduces next-state logic,eth::sem2::ddca
F%=1XZ8Sft,"In a binary encoding, {{c1::each state is represented as a binary number.}}","Advantage: very compact, reduces amount of Flip-Flops used for state<br>Disadvantage: other logic more complicated",eth::sem2::ddca
J1p>lcN.5J,"In an Output encoding, {{c1::outputs are directly accessible in state encoding.}}","Example: 001, 010, 100, 110 for a (green, yellow, red) traffic light<br>Advantage: minimizes output logic",eth::sem2::ddca
q$(ZtVs!sX,R-type instructions operate on {{c1::three registers}},"Examples: add, and, slt",eth::sem2::ddca
JH$r/N4_i*,I-type instructions operate on {{c1::two registers and a 16-bit immediate.}},"Examples: addi, lw, beq",eth::sem2::ddca
LI$<DaWL.L,J-type instructions operate on {{c1::one 26-bit immediate.}},"Examples: j, jal",eth::sem2::ddca
dOUJuy3CA[,"In Boolean algebra, \(\bullet\) means {{c1::AND}}.",,eth::sem2::ddca
B}Rj(zK0.6,"In Boolean algebra,&nbsp;\(+\) means {{c1::OR}}.",,eth::sem2::ddca
m.z>*Vj;0`,"Ein Graph ist \(k\)-zusammenhängend, wenn {{c1::wir mindestens&nbsp;\(k\) Knoten löschen müssen, damit er nicht mehr zusammenhängend ist.}}",,eth::sem2::anw
wYNIl$6{KE,"Wenn ein Graph&nbsp;\(k\)-zusammenhängend ist, ist er auch&nbsp;{{c1::\(k-1\)-zusammenhängend.}}",,eth::sem2::anw
x$+[>$U=Wl,"Es gibt&nbsp;{{c1::\(n^k\)}} Möglichkeiten,&nbsp;\(k\) Elemente <b>geordnet mit Zurücklegen</b> aus einer Menge mit \(n\) zu ziehen.",,eth::sem2::anw
o+>y]EAyv&,"Es gibt&nbsp;{{c1::\(\frac{n!}{(n-k)!}\)}} Möglichkeiten,&nbsp;\(k\) Elemente&nbsp;<b>geordnet ohne Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,eth::sem2::anw
HTQOog++F3,"Es gibt&nbsp;{{c1::\(\binom{n+k-1}{k}\)}} Möglichkeiten,&nbsp;\(k\) Elemente <b>ungeordnet mit Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,eth::sem2::anw
L@~[[nY^&#,"Es gibt&nbsp;{{c1::\(\binom{n}{k}\)}} Möglichkeiten,&nbsp;\(k\) Elemente&nbsp;<b>ungeordnet&nbsp;ohne Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,eth::sem2::anw
